산화분위기,1200℃,1(KM-85),2(LKC-60),3(KC-009),4(WA),5(PA),6(PB),7(WC-1),8(PC),9(WC-2)
,L*,94.86,95.45,97.14,91.7,90.64,88.25,90.3,82.03,88.15
,a*,1.21,0.61,0.06,1.07,2.14,-1.36,-3.09,-0.53,-3.49
,b*,2.87,3.84,3.94,6.69,6.4,16.06,13.1,17.48,15.91
,,,,,,,,,,
산화분위기,1250℃,1(KM-85),2(LKC-60),3(KC-009),4(WA),5(PA),6(PB),7(WC-1),8(PC),9(WC-2)
,L*,94.86,94.55,97.03,92.39,91.64,91.08,92.26,87.96,88.15
,a*,0.82,0.46,-0.1,0.7,1.16,-3.83,-4.05,-3.72,-3.49
,b*,3.03,4.65,4.27,7.07,6.83,15.92,15.11,18.71,15.91
,,,,,,,,,,
환원분위기,1200℃,1(KM-85),2(LKC-60),3(KC-009),4(WA),5(PA),6(PB),7(WC-1),8(PC),9(WC-2)
,L*,95.89,95.71,96.42,91.88,91.79,88.25,92.36,86.4,89.32
,a*,0.32,0.35,-0.01,0.94,0.58,-3.51,-4.04,-2.4,-3.49
,b*,3.91,3.75,5.01,9.36,9.55,16.91,17.51,20.82,15.91
,,,,,,,,,,
환원분위기,1250℃,1(KM-85),2(LKC-60),3(KC-009),4(WA),5(PA),6(PB),7(WC-1),8(PC),9(WC-2)
,L*,95.67,94.75,93.42,90.11,91.65,88.25,92.45,86.98,89.42
,a*,0.28,0.32,0.78,0.59,1.09,-3.51,-3.9,-2.8,-3.73
,b*,4.56,4.62,8.27,9.78,10.42,16.91,16.68,19.7,18.96
